year,temp
2000,-0.444400900156
2001,-0.445754073321
2002,-0.446924483746
2003,-0.447912131431
2004,-0.448717016376
2005,-0.449339138581
2006,-0.449778498046
2007,-0.450035094771
2008,-0.450108928755
2009,-0.45
2010,-0.449708308505
2011,-0.449233854269
2012,-0.448576637294
2013,-0.447736657578
2014,-0.446713915123
2015,-0.445508409927
2016,-0.444120141991
2017,-0.442549111315
2018,-0.4407953179
2019,-0.438858761744
2020,-0.436739442848
2021,-0.434437361212
2022,-0.431952516836
2023,-0.42928490972
2024,-0.426434539864
2025,-0.423401407268
2026,-0.420185511931
2027,-0.416786853855
2028,-0.413205433039
2029,-0.409441249483
2030,-0.405704859679
2031,-0.40220682012
2032,-0.398947130807
2033,-0.395925791739
2034,-0.393142802916
2035,-0.390598164338
2036,-0.388291876006
2037,-0.386223937919
2038,-0.384394350077
2039,-0.38280311248
2040,-0.381450225129
2041,-0.380335688022
2042,-0.379459501161
2043,-0.378821664545
2044,-0.378422178175
2045,-0.378261042049
2046,-0.378338256169
2047,-0.378653820534
2048,-0.379207735144
2049,-0.38
2050,-0.381030615101
2051,-0.382299580447
2052,-0.383806896038
2053,-0.385552561874
2054,-0.387536577956
2055,-0.389758944283
2056,-0.392219660855
2057,-0.394918727672
2058,-0.397856144735
2059,-0.401031912042
2060,-0.404446029595
2061,-0.408098497394
2062,-0.411989315437
2063,-0.416118483726
2064,-0.42048600226
2065,-0.425091871039
2066,-0.429936090063
2067,-0.435018659333
2068,-0.440339578847
2069,-0.445898848607
2070,-0.451503624124
2071,-0.45696106091
2072,-0.462271158964
2073,-0.467433918287
2074,-0.472449338879
2075,-0.47731742074
2076,-0.482038163869
2077,-0.486611568267
2078,-0.491037633933
2079,-0.495316360869
2080,-0.499447749073
2081,-0.503431798545
2082,-0.507268509287
2083,-0.510957881297
2084,-0.514499914575
2085,-0.517894609123
2086,-0.521141964939
2087,-0.524241982024
2088,-0.527194660378
2089,-0.53
2090,-0.532658000891
2091,-0.535168663051
2092,-0.537531986479
2093,-0.539747971176
2094,-0.541816617142
2095,-0.543737924377
2096,-0.54551189288
2097,-0.547138522652
2098,-0.548617813692
2099,-0.549949766002
2100,-0.55113437958
2101,-0.552171654426
2102,-0.553061590542
2103,-0.553804187926
2104,-0.554399446579
2105,-0.5548473665
2106,-0.555147947691
2107,-0.55530119015
2108,-0.555307093877
2109,-0.555165658874
2110,-0.555098395576
2111,-0.55532681442
2112,-0.555850915407
2113,-0.556670698537
2114,-0.557786163809
2115,-0.559197311224
2116,-0.560904140781
2117,-0.562906652481
2118,-0.565204846324
2119,-0.567798722309
